iter	Passed	Remaining
0	140	140773
1	148	74054
2	153	51006
3	164	40854
4	169	33687
5	178	29610
6	183	26089
7	196	24365
8	204	22522
9	211	20896
10	220	19787
11	223	18402
12	226	17175
13	228	16099
14	231	15184
15	233	14341
16	235	13600
17	236	12922
18	238	12310
19	241	11821
20	242	11324
21	244	10876
22	246	10449
23	247	10057
24	248	9689
25	249	9348
26	250	9036
27	251	8742
28	252	8468
29	255	8261
30	256	8025
31	257	7804
32	258	7588
33	259	7383
34	261	7200
35	262	7018
36	263	6845
37	263	6679
38	264	6522
39	265	6373
40	266	6231
41	267	6096
42	269	6001
43	270	5880
44	271	5770
45	272	5659
46	274	5560
47	275	5457
48	276	5357
49	276	5262
50	277	5169
51	278	5082
52	279	5000
53	280	4918
54	283	4863
55	284	4789
56	285	4718
57	286	4647
58	287	4577
59	287	4509
60	288	4443
61	289	4379
62	290	4318
63	291	4259
64	292	4201
65	293	4152
66	294	4097
67	295	4044
68	296	4005
69	298	3959
70	298	3911
71	299	3864
72	300	3817
73	301	3772
74	302	3728
75	303	3685
76	303	3643
77	304	3603
78	305	3566
79	306	3527
80	307	3491
81	310	3472
82	310	3434
83	312	3405
84	313	3372
85	314	3340
86	315	3313
87	316	3280
88	317	3248
89	318	3217
90	319	3186
91	319	3157
92	320	3127
93	321	3099
94	322	3071
95	324	3058
96	325	3033
97	326	3009
98	327	2984
99	328	2960
100	329	2935
101	330	2910
102	331	2886
103	332	2863
104	333	2840
105	334	2817
106	334	2795
107	335	2773
108	336	2752
109	339	2744
110	340	2726
111	341	2707
112	342	2688
113	343	2668
114	344	2649
115	345	2629
116	345	2609
117	346	2591
118	347	2572
119	348	2554
120	349	2536
121	349	2517
122	350	2501
123	353	2499
124	354	2483
125	356	2470
126	357	2454
127	357	2438
128	358	2422
129	359	2406
130	360	2391
131	361	2376
132	362	2360
133	363	2346
134	363	2331
135	364	2317
136	365	2303
137	368	2303
138	370	2292
139	371	2280
140	372	2267
141	372	2252
142	373	2239
143	374	2226
144	375	2213
145	376	2200
146	377	2188
147	378	2176
148	378	2163
149	379	2151
150	383	2153
151	384	2142
152	385	2132
153	386	2120
154	387	2111
155	388	2104
156	390	2097
157	391	2088
158	393	2082
159	394	2072
160	396	2065
161	397	2057
162	399	2049
163	400	2040
164	401	2031
165	402	2023
166	403	2014
167	406	2010
168	408	2007
169	410	2005
170	412	1999
171	413	1991
172	414	1982
173	415	1972
174	416	1963
175	417	1954
176	418	1944
177	419	1935
178	419	1925
179	420	1916
180	423	1915
181	424	1907
182	425	1899
183	426	1890
184	427	1883
185	428	1875
186	429	1866
187	430	1858
188	431	1849
189	431	1841
190	432	1832
191	433	1824
192	434	1816
193	435	1808
194	437	1807
195	439	1800
196	440	1794
197	441	1787
198	442	1779
199	442	1771
200	443	1763
201	444	1756
202	445	1748
203	446	1740
204	447	1733
205	447	1726
206	448	1719
207	449	1713
208	453	1714
209	454	1708
210	455	1703
211	456	1696
212	457	1689
213	458	1682
214	458	1675
215	459	1668
216	460	1661
217	461	1654
218	462	1648
219	462	1641
220	463	1635
221	466	1633
222	467	1628
223	468	1623
224	469	1617
225	470	1611
226	471	1605
227	472	1599
228	473	1593
229	474	1587
230	474	1581
231	475	1575
232	476	1570
233	477	1564
234	478	1558
235	480	1555
236	481	1551
237	482	1545
238	483	1540
239	484	1534
240	485	1528
241	486	1522
242	486	1517
243	487	1511
244	488	1505
245	489	1500
246	490	1495
247	491	1491
248	493	1488
249	497	1492
250	498	1487
251	499	1481
252	500	1476
253	502	1476
254	503	1471
255	504	1466
256	505	1462
257	506	1457
258	509	1457
259	510	1454
260	512	1450
261	513	1446
262	514	1442
263	515	1437
264	516	1432
265	517	1428
266	518	1423
267	519	1418
268	520	1415
269	522	1413
270	524	1411
271	526	1407
272	527	1403
273	528	1399
274	531	1400
275	533	1399
276	534	1395
277	535	1391
278	538	1391
279	541	1391
280	542	1387
281	544	1385
282	545	1382
283	547	1380
284	548	1376
285	549	1372
286	550	1368
287	554	1370
288	555	1367
289	557	1364
290	558	1360
291	559	1355
292	560	1351
293	560	1346
294	561	1342
295	562	1337
296	563	1333
297	564	1329
298	565	1324
299	565	1320
300	569	1322
301	570	1319
302	572	1316
303	572	1311
304	573	1307
305	574	1303
306	575	1299
307	576	1294
308	577	1290
309	578	1286
310	578	1282
311	579	1278
312	580	1274
313	582	1273
314	584	1270
315	585	1266
316	586	1262
317	586	1258
318	587	1254
319	588	1250
320	589	1246
321	590	1242
322	591	1238
323	591	1234
324	592	1230
325	593	1227
326	597	1229
327	598	1227
328	600	1223
329	601	1220
330	602	1217
331	603	1213
332	604	1209
333	604	1206
334	605	1202
335	606	1198
336	607	1195
337	608	1191
338	612	1194
339	613	1190
340	614	1187
341	615	1184
342	616	1180
343	617	1177
344	618	1173
345	618	1169
346	619	1166
347	620	1163
348	621	1159
349	622	1156
350	626	1157
351	627	1156
352	629	1153
353	630	1149
354	631	1147
355	632	1144
356	633	1141
357	634	1137
358	635	1134
359	636	1131
360	637	1127
361	637	1124
362	640	1124
363	642	1122
364	643	1119
365	644	1116
366	645	1113
367	646	1109
368	647	1106
369	647	1103
370	648	1099
371	649	1096
372	650	1093
373	651	1090
374	653	1089
375	654	1086
376	655	1083
377	656	1080
378	657	1077
379	658	1074
380	659	1071
381	660	1067
382	661	1064
383	661	1061
384	662	1058
385	663	1055
386	664	1052
387	665	1049
388	669	1051
389	670	1048
390	671	1046
391	672	1043
392	673	1040
393	674	1037
394	675	1034
395	676	1031
396	676	1028
397	677	1025
398	678	1022
399	679	1019
400	680	1016
401	685	1019
402	686	1016
403	687	1014
404	688	1011
405	689	1009
406	690	1006
407	691	1003
408	692	1000
409	692	997
410	693	994
411	694	991
412	696	990
413	698	988
414	699	985
415	700	983
416	701	980
417	702	977
418	703	974
419	703	971
420	704	969
421	705	966
422	706	963
423	707	960
424	708	958
425	709	955
426	710	953
427	712	952
428	713	949
429	714	947
430	715	944
431	716	941
432	717	939
433	718	936
434	719	933
435	719	931
436	720	928
437	721	925
438	722	923
439	723	920
440	724	917
441	725	916
442	727	914
443	728	911
444	729	909
445	730	906
446	730	904
447	731	901
448	732	898
449	733	896
450	734	893
451	734	891
452	735	888
453	737	887
454	740	886
455	741	884
456	742	882
457	743	879
458	744	877
459	745	874
460	745	872
461	746	869
462	747	867
463	748	864
464	749	862
465	750	859
466	750	857
467	753	856
468	756	856
469	757	854
470	758	851
471	759	849
472	760	847
473	762	845
474	762	843
475	763	840
476	764	838
477	765	835
478	767	834
479	768	832
480	769	830
481	770	828
482	771	826
483	772	823
484	773	821
485	774	819
486	775	816
487	776	814
488	777	811
489	777	809
490	778	807
491	779	805
492	781	804
493	783	802
494	784	800
495	785	798
496	787	796
497	787	794
498	788	791
499	789	789
500	790	787
501	791	784
502	791	782
503	792	780
504	793	777
505	794	775
506	796	774
507	797	772
508	799	770
509	800	768
510	800	766
511	801	764
512	802	762
513	803	759
514	804	757
515	805	755
516	806	753
517	806	750
518	807	748
519	808	746
520	810	745
521	812	743
522	813	742
523	814	739
524	815	737
525	816	735
526	817	733
527	817	731
528	818	729
529	819	726
530	820	724
531	821	722
532	822	720
533	823	718
534	826	718
535	827	716
536	828	714
537	829	712
538	829	709
539	830	707
540	831	705
541	832	703
542	833	701
543	834	699
544	835	697
545	836	695
546	839	695
547	841	693
548	842	691
549	843	690
550	844	688
551	846	686
552	847	685
553	850	684
554	854	685
555	856	683
556	857	682
557	858	680
558	859	678
559	860	676
560	861	674
561	862	672
562	863	670
563	864	668
564	865	666
565	866	664
566	868	663
567	870	661
568	871	660
569	872	658
570	873	656
571	874	654
572	875	652
573	876	650
574	877	648
575	878	646
576	878	644
577	879	642
578	880	640
579	882	639
580	883	637
581	884	635
582	885	633
583	887	632
584	888	630
585	889	628
586	890	626
587	891	624
588	892	622
589	892	620
590	893	618
591	894	616
592	895	614
593	897	613
594	898	611
595	900	610
596	901	608
597	901	606
598	902	604
599	903	602
600	904	600
601	905	598
602	906	596
603	907	594
604	907	592
605	908	590
606	909	588
607	911	587
608	913	586
609	914	584
610	915	582
611	915	580
612	916	578
613	917	576
614	918	574
615	919	573
616	920	571
617	921	569
618	922	567
619	923	565
620	923	563
621	926	562
622	927	561
623	928	559
624	929	557
625	930	555
626	931	553
627	931	552
628	933	550
629	934	548
630	935	547
631	936	545
632	937	543
633	938	541
634	941	541
635	942	539
636	943	537
637	944	535
638	945	534
639	946	532
640	947	530
641	948	528
642	949	527
643	950	525
644	951	523
645	952	522
646	955	521
647	957	519
648	958	518
649	959	516
650	960	515
651	961	513
652	962	511
653	963	509
654	964	507
655	965	506
656	965	504
657	966	502
658	968	501
659	970	499
660	971	498
661	972	496
662	974	495
663	975	493
664	976	491
665	977	490
666	978	488
667	980	487
668	981	485
669	984	485
670	985	483
671	987	481
672	988	480
673	990	479
674	991	477
675	993	475
676	995	474
677	996	473
678	999	472
679	1001	471
680	1003	470
681	1004	468
682	1005	466
683	1006	465
684	1007	463
685	1008	461
686	1009	459
687	1010	458
688	1011	456
689	1013	455
690	1015	453
691	1017	452
692	1018	451
693	1019	449
694	1021	448
695	1022	446
696	1023	444
697	1024	443
698	1025	441
699	1025	439
700	1028	438
701	1030	437
702	1032	436
703	1033	434
704	1034	432
705	1035	431
706	1037	430
707	1039	428
708	1040	426
709	1041	425
710	1042	423
711	1044	422
712	1045	420
713	1046	419
714	1047	417
715	1048	415
716	1049	414
717	1050	412
718	1051	410
719	1052	409
720	1053	407
721	1057	407
722	1059	405
723	1061	404
724	1062	403
725	1064	401
726	1066	400
727	1067	399
728	1072	398
729	1074	397
730	1075	395
731	1076	394
732	1077	392
733	1078	390
734	1079	389
735	1080	387
736	1081	385
737	1082	384
738	1082	382
739	1083	380
740	1085	379
741	1086	377
742	1088	376
743	1089	374
744	1090	373
745	1090	371
746	1091	369
747	1092	368
748	1093	366
749	1094	364
750	1095	363
751	1095	361
752	1096	359
753	1097	358
754	1098	356
755	1101	355
756	1103	354
757	1104	352
758	1104	350
759	1105	349
760	1106	347
761	1107	346
762	1108	344
763	1109	342
764	1110	341
765	1111	339
766	1112	337
767	1114	336
768	1116	335
769	1117	333
770	1118	332
771	1120	330
772	1121	329
773	1122	327
774	1123	326
775	1124	324
776	1125	322
777	1125	321
778	1126	319
779	1128	318
780	1130	316
781	1131	315
782	1132	313
783	1132	312
784	1133	310
785	1134	308
786	1135	307
787	1136	305
788	1136	304
789	1137	302
790	1138	300
791	1139	299
792	1140	297
793	1141	296
794	1144	295
795	1145	293
796	1146	292
797	1148	290
798	1149	289
799	1150	287
800	1151	285
801	1152	284
802	1152	282
803	1153	281
804	1154	279
805	1155	278
806	1158	276
807	1159	275
808	1160	273
809	1161	272
810	1162	271
811	1163	269
812	1164	267
813	1165	266
814	1166	264
815	1167	263
816	1167	261
817	1168	260
818	1169	258
819	1171	257
820	1173	255
821	1174	254
822	1175	252
823	1176	251
824	1177	249
825	1178	248
826	1179	246
827	1180	245
828	1180	243
829	1181	242
830	1182	240
831	1183	238
832	1184	237
833	1187	236
834	1188	234
835	1190	233
836	1190	231
837	1191	230
838	1192	228
839	1193	227
840	1194	225
841	1195	224
842	1196	222
843	1196	221
844	1197	219
845	1198	218
846	1202	217
847	1203	215
848	1204	214
849	1205	212
850	1206	211
851	1207	209
852	1208	208
853	1209	206
854	1209	205
855	1210	203
856	1211	202
857	1212	200
858	1213	199
859	1217	198
860	1218	196
861	1219	195
862	1220	193
863	1221	192
864	1222	190
865	1222	189
866	1223	187
867	1224	186
868	1225	184
869	1226	183
870	1227	181
871	1227	180
872	1231	179
873	1232	177
874	1233	176
875	1234	174
876	1235	173
877	1236	171
878	1237	170
879	1238	168
880	1239	167
881	1239	165
882	1240	164
883	1241	162
884	1242	161
885	1245	160
886	1247	158
887	1248	157
888	1249	156
889	1251	154
890	1252	153
891	1253	151
892	1254	150
893	1255	148
894	1255	147
895	1256	145
896	1257	144
897	1260	143
898	1261	141
899	1262	140
900	1263	138
901	1264	137
902	1264	135
903	1265	134
904	1266	132
905	1267	131
906	1268	130
907	1269	128
908	1270	127
909	1270	125
910	1271	124
911	1274	123
912	1276	121
913	1276	120
914	1277	118
915	1278	117
916	1279	115
917	1280	114
918	1281	112
919	1282	111
920	1283	110
921	1284	108
922	1284	107
923	1285	105
924	1288	104
925	1289	103
926	1290	101
927	1291	100
928	1292	98
929	1293	97
930	1294	95
931	1295	94
932	1296	93
933	1297	91
934	1297	90
935	1298	88
936	1299	87
937	1300	85
938	1302	84
939	1304	83
940	1305	81
941	1306	80
942	1306	79
943	1307	77
944	1308	76
945	1309	74
946	1310	73
947	1311	71
948	1312	70
949	1313	69
950	1314	67
951	1314	66
